  nodeId: "C!\350h\030\321\026\277\277\265|\243o\356\017\324:\372\272\366\006\027\371\0216p\001\272\263SD\203\340\a\314l\003\220oyJ\035\313\316!X\r\347\322\355\201\036\027\311!\270as\006\337\220\241_:"
}
network_id: 11111
code: 1
timestamp: 1727092073043
version: 1

11:47:53.231 INFO  [peerClient-8] [net](ChannelManager.java:148) Add peer /18.210.241.149:18888, total channels: 1
11:47:53.232 INFO  [peerClient-8] [net](HandshakeService.java:58) Handshake failed /18.210.241.149:18888, code: 1, reason: TOO_MANY_PEERS, networkId: 11111, version: 1
11:47:53.233 INFO  [peerClient-8] [net](ChannelManager.java:178) Try to close channel: /18.210.241.149:18888, reason: TOO_MANY_PEERS
11:47:53.234 INFO  [peerClient-8] [net](P2pChannelInitializer.java:45) Close channel:/18.210.241.149:18888
11:47:53.235 INFO  [peerClient-8] [net](ConnPoolService.java:261) Peer stats: channels 0, activePeers 0, active 0, passive 0
11:47:53.236 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /54.179.207.68:18888
11:47:53.240 INFO  [peerClient-7] [net](ChannelManager.java:214) Receive message from channel: /52.15.93.92:18888, [HelloMessage: from {
  address: "52.15.93.92"
  port: 18888
